state	receive	newState
302	multiplicative-expression	102
302	postfix-expression	103
302	primary-expression	104
302	relational-expression	105
302	selection-statement	107
302	shift-expression	108
302	statement	317
302	unary-expression	114
302	unary-operator	115
23	declaration-specifiers	47
23	storage-class-specifier	23
23	type-qualifier	25
23	type-specifier	26
119	abstract-declarator	204
119	declarator	205
119	direct-abstract-declarator	206
119	direct-declarator	9
119	pointer	207
183	AND-expression	71
183	additive-expression	72
183	assignment-expression	73
183	cast-expression	76
183	conditional-expression	79
183	constant	80
183	equality-expression	86
183	exclusive-OR-expression	87
183	expression	136
183	inclusive-OR-expression	95
183	logical-AND-expression	100
183	logical-OR-expression	101
183	multiplicative-expression	102
183	postfix-expression	103
183	primary-expression	104
183	relational-expression	105
183	shift-expression	108
183	specifier-qualifier-list	138
183	type-name	257
183	type-qualifier	139
183	type-specifier	140
183	unary-expression	114
183	unary-operator	115
279	AND-expression	71
279	additive-expression	72
279	assignment-expression	73
279	cast-expression	76
279	conditional-expression	79
279	constant	80
279	equality-expression	86
279	exclusive-OR-expression	87
279	expression	301
279	inclusive-OR-expression	95
279	logical-AND-expression	100
279	logical-OR-expression	101
279	multiplicative-expression	102
279	postfix-expression	103
279	primary-expression	104
279	relational-expression	105
279	shift-expression	108
279	unary-expression	114
279	unary-operator	115
311	AND-expression	71
311	additive-expression	72
311	assignment-expression	73
311	cast-expression	76
311	conditional-expression	79
311	constant	80
311	equality-expression	86
311	exclusive-OR-expression	87
311	expression	320
311	inclusive-OR-expression	95
311	logical-AND-expression	100
311	logical-OR-expression	101
311	multiplicative-expression	102
311	postfix-expression	103
311	primary-expression	104
311	relational-expression	105
311	shift-expression	108
311	unary-expression	114
311	unary-operator	115
0	declaration	6
0	declaration-specifiers	7
0	declarator	8
0	direct-declarator	9
0	external-declaration	12
0	function-definition	14
0	pointer	18
0	storage-class-specifier	23
0	translation-unit	24
0	type-qualifier	25
0	type-specifier	26
64	AND-expression	71
64	additive-expression	72
64	assignment-expression	73
64	cast-expression	76
64	conditional-expression	79
64	constant	80
64	equality-expression	86
64	exclusive-OR-expression	87
64	expression	136
64	inclusive-OR-expression	95
64	logical-AND-expression	100
64	logical-OR-expression	101
64	multiplicative-expression	102
64	postfix-expression	103
64	primary-expression	104
64	relational-expression	105
64	shift-expression	108
64	specifier-qualifier-list	138
64	type-name	137
64	type-qualifier	139
64	type-specifier	140
64	unary-expression	114
64	unary-operator	115
